rank,sweep_id,sweep_label,run_id,algorithm,reward_mode,num_layers,layer_size,total_timesteps,learning_rate,gamma,batch_size,gradient_steps,mean_reward,std_reward,n_steps,last_steps_used
15,wqs01xjl,PPO | speed_throughput (156 run),48pt7fj8,ppo,speed_throughput,2,64,75000,6.369056762978976e-05,0.9714087078516052,256,2,0.5546526367454722,0.04275307686333455,757,100
16,wqs01xjl,PPO | speed_throughput (156 run),ivubmrzj,ppo,speed_throughput,3,128,100000,6.743354063620825e-05,0.9355891058247108,128,2,0.5539622555247441,0.035460149809193736,1003,100
17,wqs01xjl,PPO | speed_throughput (156 run),ajeirfdz,ppo,speed_throughput,3,8,75000,0.00020764804635462045,0.9211345766994292,64,1,0.553940666299244,0.03729530409999243,757,100
18,wqs01xjl,PPO | speed_throughput (156 run),adrz2fwc,ppo,speed_throughput,4,32,50000,0.00017945187945271908,0.9051223081291222,32,4,0.5533883678691763,0.046707634653999346,512,100
19,wqs01xjl,PPO | speed_throughput (156 run),snjpa0f9,ppo,speed_throughput,1,32,75000,0.00014369588354700487,0.9317094337436084,128,1,0.5533540918684681,0.03763073247891317,757,100
20,wqs01xjl,PPO | speed_throughput (156 run),wpcvy1kf,ppo,speed_throughput,6,256,50000,0.004040847153445392,0.9302174740072294,128,1,0.5533384585336598,0.04405321557001525,512,100
21,wqs01xjl,PPO | speed_throughput (156 run),nmq66xnf,ppo,speed_throughput,4,16,100000,0.0006755680600190546,0.9268377149246236,128,2,0.5531711779254533,0.04325811946951458,1003,100
22,wqs01xjl,PPO | speed_throughput (156 run),i8ojhtus,ppo,speed_throughput,1,128,75000,0.00019963544938942203,0.9469446805729612,128,2,0.5530386079530318,0.04276108082969594,757,100
23,wqs01xjl,PPO | speed_throughput (156 run),wbky6d1p,ppo,speed_throughput,2,128,100000,0.0037793407402962583,0.9097213378037629,32,2,0.5529348960566419,0.039608572986911984,1003,100
24,wqs01xjl,PPO | speed_throughput (156 run),kdykp53x,ppo,speed_throughput,3,16,100000,0.00412702494153903,0.9554303555401904,256,4,0.5528081212465707,0.03708370442729272,1003,100
25,wqs01xjl,PPO | speed_throughput (156 run),vd8mvkco,ppo,speed_throughput,6,256,100000,0.0006156916573114135,0.9863135228987076,64,2,0.552335325645522,0.04280186531533297,1003,100
26,wqs01xjl,PPO | speed_throughput (156 run),m7rqk6mt,ppo,speed_throughput,3,8,75000,0.00019350904940501553,0.9590937273647792,32,4,0.5521973275531286,0.04105699190736532,757,100
27,wqs01xjl,PPO | speed_throughput (156 run),iyowxgbg,ppo,speed_throughput,5,128,100000,0.0001958840678220452,0.9341754848931304,256,1,0.5521100423180451,0.04558224998576337,1003,100
28,wqs01xjl,PPO | speed_throughput (156 run),d8w8ydh0,ppo,speed_throughput,1,256,75000,0.003046359475822888,0.9053203124868144,128,4,0.5519814528654742,0.03859331139397682,757,100
29,wqs01xjl,PPO | speed_throughput (156 run),q2drmtuk,ppo,speed_throughput,2,32,100000,5.924452486682733e-05,0.9412356477478016,256,1,0.5519570252783144,0.038581846248156734,1003,100
30,wqs01xjl,PPO | speed_throughput (156 run),ertk0it2,ppo,speed_throughput,1,32,75000,0.00010261564214153104,0.9681803945093476,256,2,0.5519284044274424,0.04440895891655584,757,100
31,wqs01xjl,PPO | speed_throughput (156 run),ruucnsjh,ppo,speed_throughput,3,256,75000,0.001430496394509281,0.9849183948327896,128,4,0.5518307633885372,0.0367847597775921,757,100
32,wqs01xjl,PPO | speed_throughput (156 run),q58zubfe,ppo,speed_throughput,5,8,50000,0.004959761218619882,0.9106893040794968,256,4,0.5516520696304805,0.04289182195932877,512,100
33,wqs01xjl,PPO | speed_throughput (156 run),x8znpdj5,ppo,speed_throughput,6,8,100000,0.0032684611485556967,0.9681116758647996,256,4,0.5514487227298123,0.03909265616900038,1003,100
34,wqs01xjl,PPO | speed_throughput (156 run),3aozb1lc,ppo,speed_throughput,2,128,100000,0.0002691641732534999,0.9000774967272905,64,4,0.5513334148639328,0.03494044892578706,1003,100
35,wqs01xjl,PPO | speed_throughput (156 run),t44o0shr,ppo,speed_throughput,6,16,75000,0.003416279811051315,0.9644902861343256,256,2,0.5512489253654735,0.04040149124586553,757,100
36,wqs01xjl,PPO | speed_throughput (156 run),18c7wvz0,ppo,speed_throughput,1,64,75000,0.004644929806951183,0.9276780507467624,256,1,0.5512051506860354,0.03823385575156937,757,100
37,wqs01xjl,PPO | speed_throughput (156 run),s93hbogq,ppo,speed_throughput,4,256,100000,0.00021259726454073575,0.9600655795836904,128,4,0.5508726077614647,0.04171755361102415,1003,100
38,wqs01xjl,PPO | speed_throughput (156 run),fjl47ilr,ppo,speed_throughput,6,32,50000,0.0005216723148026053,0.958308084402004,64,4,0.5504919111565202,0.04936071353680714,512,100
39,wqs01xjl,PPO | speed_throughput (156 run),h5dxio3g,ppo,speed_throughput,2,64,50000,0.0007934950858854821,0.9550942723784396,64,4,0.5504851311588123,0.04588091654620395,512,100
40,wqs01xjl,PPO | speed_throughput (156 run),gvpnwd7r,ppo,speed_throughput,6,64,75000,0.004703723969491939,0.964212317742787,64,2,0.5503064682363066,0.035626474681677636,757,100
41,wqs01xjl,PPO | speed_throughput (156 run),2dnou2ib,ppo,speed_throughput,5,256,50000,0.00010255762548130244,0.9415982956394644,128,4,0.5502231213450854,0.03956730219759163,512,100
42,wqs01xjl,PPO | speed_throughput (156 run),3yn85pwf,ppo,speed_throughput,6,8,100000,0.0016459111961354903,0.966121867906662,256,4,0.550153802498215,0.04805613305448637,1003,100
43,wqs01xjl,PPO | speed_throughput (156 run),1zpaujrl,ppo,speed_throughput,2,16,75000,0.001092384921142689,0.989954681277561,32,4,0.5501197421011461,0.04727654774923095,757,100
44,wqs01xjl,PPO | speed_throughput (156 run),1mlnkbyu,ppo,speed_throughput,1,64,100000,0.0007990191348633425,0.9734690048837564,32,4,0.5500642720006952,0.04546595365619682,1003,100
45,wqs01xjl,PPO | speed_throughput (156 run),n8lyfwhb,ppo,speed_throughput,5,8,100000,0.001395063292341767,0.9620490767439523,256,4,0.5496646703243916,0.042033337430685436,1003,100
46,wqs01xjl,PPO | speed_throughput (156 run),t8kjbe4d,ppo,speed_throughput,4,32,75000,0.0006363499800347611,0.9391512423179756,128,1,0.5496573992814884,0.041417278425857386,757,100
47,wqs01xjl,PPO | speed_throughput (156 run),houoy3mw,ppo,speed_throughput,1,32,50000,0.0030915496499909563,0.900827421700454,32,2,0.5495525824151515,0.039115338545678856,512,100
48,wqs01xjl,PPO | speed_throughput (156 run),v13vtjcz,ppo,speed_throughput,2,16,50000,0.0030970844869273985,0.9570891661904924,128,1,0.5492628197586413,0.04094563555225403,512,100
49,wqs01xjl,PPO | speed_throughput (156 run),lyk1yov7,ppo,speed_throughput,4,128,50000,0.004320802698213381,0.9068369611559888,64,4,0.549236411756209,0.0375282123578034,512,100
50,wqs01xjl,PPO | speed_throughput (156 run),hv9guf1s,ppo,speed_throughput,6,32,100000,0.004905499530035675,0.9434112356050184,64,2,0.5491740128666279,0.03916192227040581,1003,100
51,wqs01xjl,PPO | speed_throughput (156 run),b78yk3gd,ppo,speed_throughput,2,8,100000,0.0022903692797526924,0.9043559166035864,128,2,0.5488721415799701,0.034601047817142384,1003,100
52,wqs01xjl,PPO | speed_throughput (156 run),g5by7v5y,ppo,speed_throughput,3,16,100000,0.004790686257027218,0.926273593438146,64,1,0.5487068307561116,0.04134717484642518,1003,100
53,wqs01xjl,PPO | speed_throughput (156 run),jq7ohvpc,ppo,speed_throughput,2,8,50000,0.001456036857882999,0.9805073374728168,64,1,0.5485524217311812,0.04555978290866629,512,100
54,wqs01xjl,PPO | speed_throughput (156 run),v4pauflu,ppo,speed_throughput,4,16,100000,0.0011440808477987238,0.9610516085710168,32,2,0.5484568748045242,0.04333674583962887,1003,100
55,wqs01xjl,PPO | speed_throughput (156 run),n5k2jzj9,ppo,speed_throughput,2,64,75000,0.004229743815548176,0.9581417136917312,256,4,0.5481672791397852,0.03500192497155491,757,100
56,wqs01xjl,PPO | speed_throughput (156 run),ayn2ehoi,ppo,speed_throughput,4,256,50000,0.0006676050010915105,0.9176004803207448,256,4,0.5481035026431968,0.045216908699329324,512,100
57,wqs01xjl,PPO | speed_throughput (156 run),yl10kqfs,ppo,speed_throughput,3,16,100000,0.0005402658509050289,0.9291872143602684,256,2,0.5474759851587774,0.04178295435916512,1003,100
58,wqs01xjl,PPO | speed_throughput (156 run),jwlbjkmd,ppo,speed_throughput,3,32,50000,0.0008611298246212592,0.9424525473435448,32,1,0.5474623919330592,0.0399248539522706,512,100
59,wqs01xjl,PPO | speed_throughput (156 run),v7kt5oje,ppo,speed_throughput,1,128,75000,0.004007562965282511,0.9517826927964368,256,1,0.5473150696351715,0.03873245428492623,757,100
60,wqs01xjl,PPO | speed_throughput (156 run),9ckqaz4a,ppo,speed_throughput,4,128,75000,0.00021710108024326324,0.9595879851701116,256,4,0.5472415819433436,0.05044824793872602,757,100
61,wqs01xjl,PPO | speed_throughput (156 run),yps83dbo,ppo,speed_throughput,6,128,75000,0.002211724569604858,0.9936176461759264,32,1,0.5470672347489789,0.04267998403683144,757,100
62,wqs01xjl,PPO | speed_throughput (156 run),ssgb7vjn,ppo,speed_throughput,5,8,75000,0.0002743768268174224,0.932820955442116,64,2,0.5467564326791549,0.03612808035706047,757,100
63,wqs01xjl,PPO | speed_throughput (156 run),5xjz2ea9,ppo,speed_throughput,6,128,100000,0.0032024761947530133,0.979644008816604,32,2,0.5465121419079064,0.03648091321484091,1003,100
64,wqs01xjl,PPO | speed_throughput (156 run),9f845z33,ppo,speed_throughput,3,128,75000,0.00010596567885060657,0.9695182208231488,256,1,0.5463892122298468,0.04418432502694457,757,100
65,wqs01xjl,PPO | speed_throughput (156 run),maxddpm9,ppo,speed_throughput,4,128,50000,0.0015714950917174522,0.9037897299272596,128,2,0.5461588723485942,0.04332461642115626,512,100
66,wqs01xjl,PPO | speed_throughput (156 run),425okmft,ppo,speed_throughput,2,16,75000,8.494391321376123e-05,0.9176760193208432,64,4,0.5459164304623514,0.03975022363998711,757,100
